gvkey,permno,linkdt,linkenddt,linktype,linkprim
001000,25881.0,1970-11-13,1978-06-30,LU,P
001001,10015.0,1983-09-20,1986-07-31,LU,P
001002,10023.0,1972-12-14,1973-06-05,LC,C
001003,10031.0,1983-12-07,1989-08-16,LU,C
001004,54594.0,1972-04-24,,LU,P
001005,61903.0,1973-01-31,1983-01-31,LU,C
001007,10058.0,1973-10-01,1979-01-30,LU,C
001007,10058.0,1979-01-31,1984-09-28,LU,P
001008,10066.0,1983-08-25,1987-02-26,LC,P
001009,10074.0,1982-01-18,1996-03-13,LC,C
001010,10006.0,1950-05-01,1962-01-30,LU,C
001010,10006.0,1962-01-31,1984-06-28,LU,P
001011,10082.0,1983-03-21,1995-09-28,LC,P
001012,10103.0,1978-01-31,1989-12-29,LU,P
001013,50906.0,1979-03-16,2010-12-31,LU,P
001015,66405.0,1982-01-29,1986-10-31,LU,P
001016,10146.0,1973-11-01,1977-11-29,LC,C
001016,10146.0,1977-11-30,1988-04-26,LC,P
001017,10154.0,1972-12-14,1996-02-29,LC,P
001018,10162.0,1973-07-01,1979-01-30,LU,C
001018,10162.0,1979-01-31,1981-03-04,LU,C
001019,10189.0,1972-12-14,1988-02-09,LC,C
001020,68806.0,1972-12-14,1988-04-05,LC,P
001021,10218.0,1980-10-14,1999-03-19,LU,P
001022,10234.0,1973-07-01,1976-08-30,LU,C
001022,10234.0,1976-08-31,1983-07-28,LU,P
001023,66755.0,1982-06-09,1988-10-05,LU,P
001024,10269.0,1983-07-21,1984-09-28,LU,P
001025,47351.0,1973-01-31,1985-03-19,LU,C
001026,10277.0,1972-12-14,1978-05-31,LU,P
001027,28601.0,1966-01-31,1971-05-28,LU,P
001028,10285.0,1981-10-29,1992-01-31,LU,P
001029,10293.0,1983-06-15,1985-10-31,LU,P
001030,10306.0,1973-01-31,1974-10-16,LU,C
001031,10014.0,1960-04-01,1966-01-30,LU,C
001031,10014.0,1966-01-31,1977-03-31,LU,P
001034,65832.0,1984-02-15,2008-12-29,LC,P
001036,65453.0,1983-12-06,2001-05-31,LC,C
001037,10314.0,1980-10-07,1988-08-25,LU,C
001038,66413.0,1983-08-18,2004-12-31,LU,P
001039,50526.0,1970-04-29,1979-11-30,LC,P
001040,15763.0,1950-01-01,1962-01-30,LU,C
001040,15763.0,1962-01-31,1985-10-31,LU,P
001042,10365.0,1982-06-21,1985-06-28,LU,P
001043,18980.0,1949-08-01,1962-01-30,LC,C
001043,18980.0,1962-01-31,1982-04-27,LC,C
001043,18980.0,1984-05-10,1993-05-19,LC,C
001043,80071.0,1993-12-06,2000-01-27,LC,C
001044,37591.0,1968-01-31,1970-06-30,LU,C
001045,21020.0,1950-01-01,1962-01-30,LC,C
001045,21020.0,1962-01-31,2012-01-04,LC,P
001045,21020.0,2013-12-09,,LC,P
001046,10373.0,1984-05-11,1985-05-31,LU,P
001047,10381.0,1981-08-12,1983-05-31,LU,C
001049,10400.0,1976-01-30,1982-05-26,LU,P
001050,11499.0,1980-11-28,,LC,P
001051,41961.0,1968-01-02,1968-12-31,LC,C
001052,10402.0,1973-04-01,1979-01-30,LU,C
001052,10402.0,1979-01-31,1983-03-31,LU,P
001054,10429.0,1981-10-01,1994-09-30,LU,P
001055,85041.0,1984-12-20,1997-08-29,LU,P
001056,62500.0,1973-07-01,1977-06-29,LC,C
001056,62500.0,1977-06-30,2007-08-15,LC,P
001057,10030.0,1964-01-01,1967-01-30,LC,C
001057,10030.0,1967-01-31,1967-12-29,LC,P
001058,28636.0,1962-07-02,1986-10-30,LU,C
001059,58958.0,1972-12-14,1981-03-31,LU,P
001061,10445.0,1973-04-01,1979-01-30,LU,C
001061,10445.0,1979-01-31,1980-10-31,LU,P
001062,26649.0,1965-01-29,,LU,P
001065,71239.0,1983-04-04,1991-07-19,LU,C
001066,55335.0,1984-01-31,1986-12-04,LC,C
001067,28652.0,1962-07-02,1966-01-30,LC,C
001067,28652.0,1966-01-31,1984-01-30,LC,P
001069,10480.0,1983-10-18,1984-10-16,LU,C
001070,21549.0,1968-01-01,1968-01-30,LC,C
001070,21549.0,1968-01-31,1981-04-30,LC,P
001072,56899.0,1973-01-01,1973-03-29,LC,C
001072,56899.0,1973-03-30,1990-01-18,LC,C
001072,81912.0,1995-08-15,2020-03-27,LC,C
001073,10496.0,1981-03-09,1996-08-28,LU,C
001074,49648.0,1969-12-04,1982-12-31,LU,P
001075,27991.0,1962-01-31,,LU,P
001076,10517.0,1982-11-04,1992-12-31,LC,P
001076,10517.0,2010-12-01,,LC,P
001076,78049.0,1993-01-01,2010-11-30,LC,P
001077,10525.0,1973-07-01,1979-01-30,LU,C
001077,10525.0,1979-01-31,1980-09-30,LU,P
001078,20482.0,1950-01-01,1962-01-30,LC,C
001078,20482.0,1962-01-31,,LC,P
001079,10541.0,1961-01-01,1969-01-30,LC,C
001079,10541.0,1969-01-31,1976-09-30,LC,P
001080,28660.0,1962-10-01,1963-12-30,LU,C
001080,28660.0,1963-12-31,1976-04-30,LU,P
001081,10560.0,1987-07-16,2007-10-26,LC,P
001082,10568.0,1982-06-29,2011-08-31,LC,P
001083,44231.0,1977-12-30,1980-01-31,LC,C
001083,44231.0,1981-08-31,1988-04-06,LC,C
001086,76876.0,1991-06-28,1994-02-23,LU,C
001087,10584.0,1981-03-03,1983-11-30,LU,P
001088,10592.0,1978-09-21,1986-02-05,LC,P
001089,10613.0,1972-12-14,1979-11-30,LC,P
001091,64688.0,1983-02-11,1987-07-31,LU,P
001092,10621.0,1981-08-13,1983-04-29,LU,P
001093,10640.0,1972-12-14,1987-03-31,LC,P
001094,10656.0,1972-12-14,2019-10-02,LC,P
001095,10123.0,1989-09-07,2002-06-14,LC,P
001097,10664.0,1972-12-14,1994-09-30,LC,P
001097,11647.0,1994-10-01,2004-12-03,LC,P
001098,10057.0,1968-01-01,1996-07-02,LC,C
001099,63837.0,1972-12-14,2000-11-30,LC,P
001100,10672.0,1972-12-14,1985-06-28,LC,P
001101,28679.0,1973-01-31,1978-01-31,LU,P
001103,28695.0,1966-01-31,1988-07-13,LU,C
001104,60038.0,1972-12-14,,LU,P
001106,10699.0,1982-01-28,1986-10-31,LU,C
001108,51510.0,1970-11-11,1996-10-18,LC,C
001109,85084.0,1984-12-12,1985-12-26,LC,C
001109,85084.0,1986-09-22,2009-04-24,LC,C
001111,10701.0,1983-06-09,1985-05-30,LC,C
001111,10701.0,1985-05-31,1991-03-28,LC,C
001111,79678.0,1993-10-22,2008-07-09,LC,C
001112,10720.0,1983-11-22,1989-07-31,LU,P
001113,43967.0,1966-11-22,1988-04-29,LC,C
001114,10728.0,1972-12-14,1976-05-28,LC,P
001115,10752.0,1979-12-05,2000-12-29,LU,P
001117,10779.0,1978-10-03,2003-05-07,LC,P
001117,10779.0,2005-10-14,,LC,P
001118,57306.0,1972-12-20,1984-11-30,LU,P
001119,10065.0,1982-01-01,1982-01-28,LU,C
001119,10065.0,1982-01-29,,LU,P
001120,17224.0,1950-01-01,1962-01-30,LU,C
001120,17224.0,1962-01-31,1988-10-31,LU,P
001121,61487.0,1975-02-07,,LU,P
001122,47650.0,1969-02-05,1987-12-31,LC,P
001123,85105.0,1985-04-29,1986-12-19,LU,C
001124,10787.0,1972-12-14,1988-03-24,LU,P
001125,10795.0,1984-04-26,1985-08-30,LU,P
001126,10808.0,1973-06-01,1978-01-30,LU,C
001126,10808.0,1978-01-31,1990-06-19,LU,C
001128,85113.0,1984-10-02,1995-01-31,LU,P
001129,10816.0,1981-12-10,1983-08-31,LU,P
001130,10824.0,1984-06-15,1987-06-10,LU,C
001131,10832.0,1972-12-14,1973-07-31,LU,P
001133,22488.0,1950-01-01,1962-01-30,LU,C
001133,22488.0,1962-01-31,1974-04-30,LU,P
001134,10859.0,1973-01-01,1978-01-30,LC,C
001134,10859.0,1978-01-31,1978-10-03,LC,P
001135,57461.0,1973-11-26,1985-11-29,LU,P
001137,10867.0,1980-12-05,1995-10-31,LU,P
001138,10875.0,1972-12-14,1996-01-31,LU,P
001139,10891.0,1973-02-01,1978-01-30,LU,C
001139,10891.0,1978-01-31,1981-08-31,LU,P
001140,10904.0,1984-01-26,1986-10-27,LU,C
001141,10912.0,1973-04-01,1978-01-30,LU,C
001141,10912.0,1978-01-31,1991-07-03,LU,C
001142,46624.0,1982-01-29,1986-09-30,LU,P
001143,78523.0,1984-05-10,1985-03-29,LU,P
001145,65840.0,1976-11-01,1980-07-30,LU,C
001145,65840.0,1980-07-31,1987-12-31,LU,P
001146,10971.0,1972-12-14,1981-04-14,LU,P
001147,10990.0,1979-01-31,1987-10-23,LU,P
001148,64514.0,1980-11-21,2001-02-28,LU,P
001150,28716.0,1966-04-29,1984-11-30,LU,P
001151,10998.0,1984-03-22,1996-12-31,LU,P
001153,28724.0,1962-07-02,1983-01-31,LU,P
001154,85164.0,1985-05-10,2003-12-23,LU,P
001155,11010.0,1975-06-30,1993-07-30,LU,C
001156,46973.0,1968-10-17,1975-06-30,LU,P
001157,28732.0,1962-07-02,1972-10-31,LU,P
001159,28740.0,1966-01-31,1986-09-05,LU,P
001161,61241.0,1972-12-14,,LU,P
001162,11026.0,1978-10-06,1985-11-29,LU,P
001163,11034.0,1982-01-29,1988-03-21,LU,C
001164,11042.0,1980-11-24,1986-07-28,LC,P
001164,11042.0,1986-08-22,2002-07-29,LC,P
001164,90284.0,2004-07-14,2006-01-06,LC,P
001165,11069.0,1981-04-14,1988-04-27,LC,C
001166,11077.0,1981-05-12,2015-08-20,LC,P
001167,11085.0,1982-01-04,1982-10-29,LU,P
001169,11114.0,1983-09-22,1988-11-22,LC,P
001170,11149.0,1983-12-21,1984-01-30,LC,C
001170,11149.0,1984-01-31,1985-07-30,LC,P
001171,11149.0,1985-07-31,1992-12-04,LC,P
001172,15916.0,1983-06-24,1985-09-29,LC,C
001172,15916.0,1986-07-10,1986-12-31,LC,C
001173,11157.0,1973-02-01,1975-02-27,LU,C
001173,11157.0,1975-02-28,2013-06-28,LU,C
001174,11165.0,1972-12-14,1979-12-31,LC,C
001175,44396.0,1967-05-03,1973-05-31,LU,P
001177,46850.0,1968-09-24,2000-12-13,LC,P
001177,88845.0,2000-12-14,2018-11-30,LC,P
001178,11173.0,1974-01-01,1974-01-30,LU,C
001178,11173.0,1974-01-31,1992-11-30,LU,P
001179,52310.0,1974-01-01,1978-01-30,LU,C
001179,52310.0,1978-01-31,1982-01-29,LU,P
001180,50569.0,1970-05-14,1985-02-21,LU,P
001181,57349.0,1973-08-09,1989-05-31,LC,P
001181,75618.0,1989-06-08,1993-10-01,LC,P
001182,57613.0,1972-12-14,1984-09-28,LU,P
001183,11181.0,1983-06-08,1998-03-09,LC,P
001184,11200.0,1981-09-11,1984-01-26,LC,P
001186,78223.0,1982-11-01,,LC,P
001188,11229.0,1981-04-06,1983-05-31,LU,P
001192,17232.0,1949-08-01,1962-01-30,LU,C
001192,17232.0,1962-01-31,1978-12-08,LU,P
001194,56266.0,1972-12-14,1998-10-30,LU,P
001195,11253.0,1974-01-01,1978-01-30,LU,C
001195,11253.0,1978-01-31,1985-06-28,LU,P
001196,44820.0,1968-01-31,1976-09-30,LU,P
001197,39116.0,1963-04-23,1995-07-14,LU,C
001199,11280.0,1979-05-11,1980-08-11,LU,C
001200,11288.0,1972-12-14,1973-05-31,LC,P
001201,11296.0,1979-01-31,1988-12-30,LU,P
001202,11309.0,1981-07-09,1983-08-24,LC,P
001203,61081.0,1973-01-31,2000-02-29,LU,C
001204,11317.0,1973-08-01,1979-01-30,LU,C
001204,11317.0,1979-01-31,1984-08-16,LU,C
001206,11325.0,1972-12-14,1973-12-31,LC,P
001208,11341.0,1982-11-05,1991-07-31,LU,P
001209,28222.0,1962-01-31,,LC,P
001210,11368.0,1984-04-23,,LC,C
001211,43756.0,1966-09-06,1968-12-31,LC,C
001212,11376.0,1979-01-31,1992-01-31,LU,P
001213,51721.0,1971-01-05,2003-08-15,LU,P
001214,67125.0,1983-08-25,1987-04-30,LU,P
001215,10102.0,1950-01-01,1962-01-30,LU,C
001215,10102.0,1962-01-31,1978-04-28,LU,P
001217,46244.0,1973-07-01,1978-06-29,LU,C
001217,46244.0,1978-06-30,1980-11-03,LU,C
001218,44775.0,1967-08-03,1976-04-30,LU,P
001219,47378.0,1968-12-19,1974-05-31,LC,P
001220,41793.0,1965-04-07,1975-07-31,LC,P
001221,25662.0,1962-01-31,1982-08-31,LU,P
001222,63415.0,1982-01-01,1982-01-28,LC,C
001222,63415.0,1982-01-29,1988-04-22,LC,P
001226,64848.0,1982-03-24,1997-08-29,LU,P
001227,67133.0,1985-01-07,1986-05-30,LU,P
001228,11456.0,1982-05-14,1986-01-22,LC,C
001228,11456.0,1988-08-23,1990-02-01,LC,C
001228,11456.0,1990-04-23,2011-07-25,LC,C
001229,11472.0,1972-12-14,1978-07-31,LU,P
001230,28804.0,1966-01-31,,LU,P
001232,11520.0,1974-11-05,1979-08-31,LU,P
001233,11536.0,1980-05-30,1987-06-18,LU,C
001234,11587.0,1972-12-14,2024-08-30,LU,P
001235,49584.0,1969-11-25,1999-12-31,LU,P
001236,57998.0,1972-12-14,1983-07-29,LU,P
001238,82233.0,1995-09-21,2002-04-05,LC,P
001239,42083.0,1965-06-11,2011-05-10,LC,P
001240,50032.0,1970-02-10,2006-06-30,LU,P
001241,11608.0,1984-08-01,1989-06-30,LU,P
001242,11616.0,1979-01-31,1980-06-27,LC,P
001243,24264.0,1950-05-31,1962-01-30,LC,C
001243,24264.0,1962-01-31,2007-11-14,LC,P
001244,11624.0,1983-05-26,2004-07-30,LC,P
001245,85244.0,1985-08-15,1989-10-31,LC,P
001246,48514.0,1969-06-16,2008-10-31,LU,P
001247,56282.0,1972-12-14,1981-03-31,LU,P
001248,53321.0,1971-10-04,1978-01-31,LU,P
001249,11659.0,1981-09-08,1985-05-31,LU,P
001250,85252.0,1985-01-07,1997-01-13,LC,C
001251,48733.0,1974-01-01,1978-01-30,LU,C
001251,48733.0,1978-01-31,1981-02-27,LU,P
001252,11683.0,1972-12-14,1975-07-31,LU,P
001253,63845.0,1972-12-14,1997-02-28,LU,P
001254,11691.0,1972-12-14,,LU,P
001255,11704.0,1981-11-19,1996-08-29,LC,P
001257,49330.0,1969-10-07,,LU,P
001258,11712.0,1982-02-17,1983-10-28,LC,C
001259,11739.0,1983-08-01,1984-01-30,LC,C
001259,11739.0,1984-01-31,1986-11-04,LC,C
001259,11739.0,1996-12-05,1999-04-27,LC,C
001259,11739.0,2004-09-09,2009-01-05,LC,C
001260,69171.0,1983-09-20,1998-12-31,LU,P
001261,11755.0,1979-09-26,1984-04-30,LU,P
001263,81765.0,1995-07-14,2000-11-30,LC,P
001263,22182.0,2021-10-20,,LC,P
001264,11763.0,1973-07-01,1979-01-30,LU,C
